Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Technical language,Other Technical language, Yearly brutto salary   ,  Bonus+Stocks , Annual brutto salary one year ago(Only answer if staying in the same country) ,  Bonus+Stocks one year ago(Only answer if staying in same country) ,Vacation Days,Employment status,Contract duration,Main language ,Company size,Company type,Lost Job
26/11/2020 10:11:01,40,Male,Berlin,Backend Developer,14,8,Lead,Spring,"Java / Scala, AWS, Azure, Kubernetes, Docker","€ 135,000.00", € -   ,"€ 65,000.00", € -   ,30,Self-employed (freelancer),Temporary contract,English,101-1000,Product,No
26/11/2020 10:31:07,39,Male,Cologne,Teamlead,12,12,Head,PHP ,"AWS, Docker","€ 75,000.00","€ 75,000.00","€ 75,000.00","€ 75,009.00",30,Full-time employee,Unlimited contract,German,up to 10,Startup,No
26/11/2020 10:31:59,24,Male,Berlin,Software Engineer,2,2,Junior,Javascript,"Javascript / Typescript, Java / Scala, SQL, AWS, Docker","€ 50,000.00", € -   ,"€ 35,000.00","€ 35,000.00",30,Full-time employee,Unlimited contract,German,1000+,Product,No
26/11/2020 10:40:41,24,Female,Prague,Software Engineer,3,0,Middle,Java,"Java / Scala, AWS, Azure, Kubernetes, Docker","€ 29,000.00", € -   ,"€ 23,000.00", € -   ,20,Full-time employee,Unlimited contract,English,11-50,Startup,No
26/11/2020 10:53:48,39,Male,Berlin,Engineering Manager,15,10,Lead,Java,"Python, Kotlin, Javascript / Typescript, SQL, Docker","€ 78,000.00","€ 12,000.00","€ 78,000.00","€ 12,000.00",30,Full-time employee,Unlimited contract,German,101-1000,Product,No
26/11/2020 11:50:35,31,Male,Berlin,ML Engineer,7,2,Middle,Python,"AWS, Kubernetes, Docker","€ 80,000.00","€ 12,000.00","€ 65,000.00", € -   ,28,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 12:20:03,33,Male,Berlin,Mobile Developer,8,2,Senior,swift,SQL,"€ 75,000.00","€ 1,000.00","€ 75,000.00","€ 1,000.00",30,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 12:21:47,31,Female,Berlin,Software Engineer,1,1,Junior,React,"Python, AWS, Kubernetes, Docker, React","€ 57,000.00","€ 1,000.00","€ 54,000.00","€ 1,000.00",30,Full-time employee,Unlimited contract,English,1000+,Retail,No
26/11/2020 12:47:20,36,Male,Frankfurt,Software Engineer,16,5,Middle,.Net,".NET, SQL","€ 65,000.00", € -   ,"€ 65,000.00", € -   ,30,Full-time employee,Unlimited contract,German,51-100,Consulting / Agency,No
26/11/2020 14:48:23,39,Male,Berlin,Software Engineer,19,7,Senior,Golang,"Python, Ruby, Go, AWS, Google Cloud, Kubernetes, Docker","€ 87,000.00","€ 97,000.00","€ 82,000.00","€ 92,000.00",unlimited,Full-time employee,Unlimited contract,English,11-50,Startup,No
